section_order,section_number,title,page_start,page_end,confidence,detection_method
1,I,ON THE BANKS OF THE ORANGE RIVER.,19,32,13.5,primary
2,II,"OFFICIAL PRESENTATIONS,",33,44,15.5,primary
3,III,THE LAND JOURNEY.,45,66,13.5,primary
4,V,A HOTTENTOT VILLAGE.,67,80,15.5,primary
5,VI,"BETTER ACQUAINTANCE,",81,94,13.5,primary
6,VII,"THE BASE OF THE TRIANGLE,",95,110,14.596,primary
7,VIII,THE TWENTY-FOURTH MERIDIAN.,111,140,12.741,primary
8,X,THE RAPID.,141,149,13.5,primary
9,XI,A MISSING COMPANION.,150,163,13.5,primary
10,XII,"A STATION TO SIR JOHN’S LIKING,",164,182,13.5,primary
11,XIII,"PACIFICATION BY FIRE,",183,196,13.5,primary
12,XIV,A DECLARATION OF WAR.,197,209,13.5,primary
13,XV,"A GEOMETRIC PROGRESSION,",210,221,13.5,primary
14,XVI,DANGER IN DISGUISE.,222,270,13.5,primary
15,XIX,SCIENCE UNDAUNTED.,271,282,13.5,primary
16,XXX,STANDING A SIEGE.,283,297,15.5,primary
17,XXI,SUSPENSE.,298,312,12.0,primary
18,XXII,HIDE AND SEEK.,313,330,13.5,primary
19,XXIII,HOMEWARD BOUND.,331,350,13.5,primary
20,I,MY UNCLE MAKES A GREAT DISCOVERY.,351,359,13.5,primary
21,II,THE MYSTERIOUS PARCHMENT.,360,366,13.5,primary
22,III,AN ASTOUNDING DISCOVERY.,367,379,13.5,primary
23,IV,WE START ON THE JOURNEY.,380,384,15.5,primary
24,V,FIRST LESSONS IN CLIMBING.,385,388,13.5,primary
25,VI,OUR VOYAGE TO ICELAND.,389,395,13.5,primary
26,VII,CONVERSATION AND DISCOVERY.,396,400,13.5,primary
27,VIII,THE EIDER-DOWN HUNTER.—OFF AT LAST.,401,412,15.5,primary
28,IX,START—WE MEET WITH ADVENTURES BY THE,413,419,15.5,primary
29,X,TRAVELLING IN ICELAND—THE LEPERS.,420,425,13.5,primary
30,XI,WE REACH MOUNT SNEFFELS.—THE “REYKIR.”,426,443,13.5,primary
31,XIII,THE SHADOW OF SCARTARIS.,444,451,13.5,primary
32,XIV,"THE REAL JOURNEY COMMENCES,",452,460,13.5,primary
33,XV,WE CONTINUE OUR DESCENT.,461,467,13.5,primary
34,XVI,THE EASTERN TUNNEL.,468,474,15.5,primary
35,XVII,DEEPER AND DEEPER—THE COAL MINE.,475,481,13.5,primary
36,XVIII,THE WRONG ROAD!,482,489,13.5,primary
37,XIX,THE WESTERN GALLERY—A NEW ROUTE.,490,493,13.5,primary
38,XX,"WATER, WHERE IS IT? A BITTER DISAPPOINTMENT.",494,502,13.5,primary
39,XXII,UNDER THE OCEAN.,503,507,13.5,primary
40,XXII,SUNDAY BELOW GROUND.,508,514,15.5,primary
41,XXIII,"ALONE,",515,523,12.0,primary
42,XXV,THE WHISPERING GALLERY.,524,533,13.5,primary
43,XXVI,A RAPID RECOVERY.,534,539,13.5,primary
44,XXVII,THE CENTRAL SEA.,540,550,12.758,primary
45,XXVIII,LAUNCHING THE RAFT.,551,570,13.5,primary
46,XXX,TERRIFIC SAURIAN COMBAT.,571,580,15.5,primary
47,XXXI,THE SEA MONSTER.,581,589,15.5,primary
48,XXXII,THE BATTLE OF THE ELEMENTS.,590,599,13.5,primary
49,XXXIII,OUR ROUTE REVERSED.,600,608,13.5,primary
50,XXXIV,A VOYAGE OF DISCOVERY.,609,614,15.5,primary
51,XXXV,DISCOVERY UPON DISCOVERY.,615,622,13.5,primary
52,XXXVI,WHAT IS IT?,623,629,12.758,primary
53,XXXVI,THE MYSTERIOUS DAGGER.,630,634,13.5,primary
54,XXXVIII,NO OUTLET—BLASTING THE ROCK.,635,644,14.67,primary
55,XXXIX,THE EXPLOSION AND ITS RESULTS.,645,653,13.5,primary
56,XL,THE APE GIGANS.,654,661,13.5,primary
57,XLI,HUNGER.,662,669,12.0,primary
58,XLII,THE VOLCANIC SHAFT.,670,680,13.5,primary
59,XLIII,DAYLIGHT AT LAST.,681,689,13.5,primary
60,XLIV,THE JOURNEY ENDED.,690,708,13.5,primary
